,Agency,Agency Type,Distribution Channel,Product Name,Net Sales,Commision (in value),category_age,category_duration,Continent,Claim
21582,C2B,Airlines,Online,Silver Plan,22.5,5.63,1,2,1,0
2851,EPX,Travel Agency,Online,Cancellation Plan,33.0,0.0,2,0,1,0
30622,EPX,Travel Agency,Online,2 way Comprehensive Plan,93.0,0.0,2,4,1,0
23779,EPX,Travel Agency,Online,Cancellation Plan,-20.0,0.0,3,6,3,0
23517,EPX,Travel Agency,Online,Cancellation Plan,42.0,0.0,2,0,1,0
21062,EPX,Travel Agency,Online,2 way Comprehensive Plan,26.0,0.0,2,0,1,0
3930,C2B,Airlines,Online,Bronze Plan,50.5,12.63,2,4,1,0
5878,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,4,1,0
30884,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,3,1,0
13347,EPX,Travel Agency,Online,2 way Comprehensive Plan,112.0,0.0,2,4,2,0
18447,EPX,Travel Agency,Online,Cancellation Plan,35.0,0.0,2,0,1,0
25368,EPX,Travel Agency,Online,Cancellation Plan,15.0,0.0,2,6,1,0
8919,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,1,1,1,0
24371,C2B,Airlines,Online,Annual Silver Plan,187.85,46.96,2,6,1,0
34710,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,2,0,1,0
18032,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,89.1,53.46,2,1,1,0
5655,C2B,Airlines,Online,Bronze Plan,33.5,8.38,1,6,1,0
7813,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,0,1,0
27830,JZI,Airlines,Online,Basic Plan,18.0,6.3,1,3,1,0
7014,EPX,Travel Agency,Offline,2 way Comprehensive Plan,76.0,0.0,2,4,3,0
1617,EPX,Travel Agency,Online,2 way Comprehensive Plan,47.0,0.0,2,3,1,0
24893,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,3,0,1,0
12070,SSI,Airlines,Online,Ticket Protector,21.35,5.98,2,1,1,0
12721,EPX,Travel Agency,Online,Cancellation Plan,61.0,0.0,2,4,2,0
7007,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,1,1,0
36426,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,4,1,0
34381,JZI,Airlines,Online,Basic Plan,18.0,6.3,3,0,1,0
32059,C2B,Airlines,Online,Silver Plan,63.5,15.88,2,4,1,0
7699,EPX,Travel Agency,Online,2 way Comprehensive Plan,39.0,0.0,2,2,1,0
13764,EPX,Travel Agency,Online,2 way Comprehensive Plan,112.0,0.0,2,4,1,0
18566,JZI,Airlines,Online,Basic Plan,22.0,7.7,1,2,1,0
34553,EPX,Travel Agency,Online,Cancellation Plan,24.0,0.0,2,1,1,0
8004,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,4,1,0
32984,C2B,Airlines,Online,Bronze Plan,17.55,4.39,2,1,1,0
9120,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,79.2,47.52,2,5,4,0
5776,C2B,Airlines,Online,Bronze Plan,23.5,5.88,2,1,1,0
8941,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,4,1,0
14801,C2B,Airlines,Online,Annual Silver Plan,187.85,46.96,1,6,1,0
35211,EPX,Travel Agency,Online,2 way Comprehensive Plan,61.0,0.0,2,2,1,0
7626,EPX,Travel Agency,Online,1 way Comprehensive Plan,42.0,0.0,2,5,1,0
3901,SSI,Airlines,Online,Ticket Protector,3.15,0.88,2,2,1,0
9863,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,2,1,0
17409,C2B,Airlines,Online,Silver Plan,39.0,9.75,1,1,1,0
29148,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,1,1,0
31545,EPX,Travel Agency,Online,Cancellation Plan,63.0,0.0,2,4,1,0
29074,JZI,Airlines,Online,Basic Plan,30.0,10.5,2,5,1,0
8457,EPX,Travel Agency,Online,2 way Comprehensive Plan,34.0,0.0,2,1,1,0
28357,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,0,1,0
15317,JZI,Airlines,Online,Basic Plan,26.0,9.1,1,4,1,0
18011,EPX,Travel Agency,Online,Cancellation Plan,14.0,0.0,2,3,1,0
11416,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,1,1,0
18317,EPX,Travel Agency,Online,1 way Comprehensive Plan,27.0,0.0,2,1,1,0
2929,EPX,Travel Agency,Online,2 way Comprehensive Plan,56.0,0.0,2,6,1,0
17515,EPX,Travel Agency,Online,2 way Comprehensive Plan,39.0,0.0,3,2,1,0
21189,JZI,Airlines,Online,Basic Plan,26.0,9.1,2,1,1,0
16463,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,3,1,0
2591,JZI,Airlines,Online,Basic Plan,35.0,12.25,1,4,1,0
24395,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,0,1,0
35225,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,4,1,0
26669,ART,Airlines,Online,24 Protect,4.43,1.55,2,4,1,0
34544,EPX,Travel Agency,Online,Cancellation Plan,18.0,0.0,2,1,1,0
34960,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,4,1,0
7302,C2B,Airlines,Online,Silver Plan,24.5,6.13,4,6,1,0
17750,C2B,Airlines,Online,Annual Gold Plan,399.6,99.9,3,6,1,0
22222,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,5,1,0
36176,TST,Travel Agency,Offline,Travel Cruise Protect,30.0,10.5,1,1,1,0
29601,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,47.52,1,6,4,0
24275,JZI,Airlines,Online,Basic Plan,33.0,11.55,2,4,1,0
18759,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,5,1,0
36986,C2B,Airlines,Online,Bronze Plan,34.5,8.63,1,2,1,0
24549,EPX,Travel Agency,Online,Cancellation Plan,12.0,0.0,1,5,1,0
26531,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,4,4,0
33812,EPX,Travel Agency,Online,Cancellation Plan,60.0,0.0,2,6,2,0
11571,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,0,1,0
32422,EPX,Travel Agency,Online,Cancellation Plan,23.0,0.0,2,4,1,0
27682,C2B,Airlines,Online,Annual Gold Plan,0.0,83.25,2,6,1,0
15636,EPX,Travel Agency,Online,2 way Comprehensive Plan,34.0,0.0,2,2,1,0
5508,EPX,Travel Agency,Online,Cancellation Plan,28.0,0.0,2,2,1,0
12126,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,1,1,0
32272,EPX,Travel Agency,Online,Cancellation Plan,16.0,0.0,2,3,1,0
20624,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,3,3,4,0
25479,EPX,Travel Agency,Online,Cancellation Plan,25.0,0.0,2,2,1,0
33519,JZI,Airlines,Online,Basic Plan,18.0,6.3,3,1,1,0
23802,EPX,Travel Agency,Online,Cancellation Plan,37.0,0.0,2,2,1,0
5107,C2B,Airlines,Online,Silver Plan,49.5,12.38,1,6,1,0
166,EPX,Travel Agency,Online,Cancellation Plan,19.0,0.0,2,6,1,0
14596,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,4,2,0
30510,ART,Airlines,Online,24 Protect,8.85,3.1,2,1,1,0
15750,JZI,Airlines,Online,Basic Plan,35.0,12.25,1,6,1,0
14400,C2B,Airlines,Online,Bronze Plan,53.0,13.25,1,2,1,1
34059,JZI,Airlines,Online,Basic Plan,40.0,14.0,2,1,1,0
8810,SSI,Airlines,Online,Ticket Protector,2.47,0.69,2,4,1,0
28233,JZI,Airlines,Online,Basic Plan,33.0,11.55,2,5,1,0
5098,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,1,1,0
36043,EPX,Travel Agency,Online,2 way Comprehensive Plan,110.0,0.0,4,4,3,0
19181,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,3,4,0
30074,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,1,6,1,0
17176,EPX,Travel Agency,Online,Cancellation Plan,18.0,0.0,2,4,2,0
26944,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,1,1,1,0
8883,EPX,Travel Agency,Online,Cancellation Plan,13.0,0.0,3,3,1,0
14296,C2B,Airlines,Online,Silver Plan,37.5,9.38,1,1,1,0
17076,C2B,Airlines,Online,Silver Plan,29.0,7.25,1,0,1,0
30194,EPX,Travel Agency,Online,Cancellation Plan,32.0,0.0,2,1,1,0
11692,EPX,Travel Agency,Online,2 way Comprehensive Plan,112.0,0.0,2,1,2,0
24374,C2B,Airlines,Online,Silver Plan,24.05,6.01,3,0,1,0
6318,C2B,Airlines,Online,Silver Plan,33.5,8.38,2,4,1,0
24002,EPX,Travel Agency,Online,2 way Comprehensive Plan,112.0,0.0,2,6,3,0
13410,EPX,Travel Agency,Online,Cancellation Plan,13.0,0.0,2,0,1,0
11261,EPX,Travel Agency,Online,2 way Comprehensive Plan,78.0,0.0,2,4,1,0
34046,C2B,Airlines,Online,Bronze Plan,13.5,3.38,2,0,1,0
6882,EPX,Travel Agency,Online,2 way Comprehensive Plan,23.0,0.0,2,2,1,0
34489,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,3,1,4,0
3000,EPX,Travel Agency,Online,Cancellation Plan,20.0,0.0,2,0,1,0
28162,JZI,Airlines,Online,Basic Plan,26.0,9.1,1,0,1,0
24723,JZI,Airlines,Online,Basic Plan,30.0,10.5,1,2,1,0
20406,EPX,Travel Agency,Online,Cancellation Plan,33.0,0.0,2,0,1,0
1499,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59.4,35.64,2,4,4,0
4862,EPX,Travel Agency,Online,2 way Comprehensive Plan,24.0,0.0,1,0,1,0
9130,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59.4,35.64,2,1,3,0
34829,EPX,Travel Agency,Online,2 way Comprehensive Plan,83.0,0.0,2,5,1,0
24817,EPX,Travel Agency,Online,2 way Comprehensive Plan,49.0,0.0,3,4,1,0
23513,EPX,Travel Agency,Online,Cancellation Plan,51.0,0.0,2,6,4,0
28235,EPX,Travel Agency,Online,Cancellation Plan,41.0,0.0,2,0,2,0
14711,EPX,Travel Agency,Online,1 way Comprehensive Plan,22.0,0.0,2,1,3,0
236,EPX,Travel Agency,Online,2 way Comprehensive Plan,43.0,0.0,1,0,3,0
25958,C2B,Airlines,Online,Silver Plan,35.4,8.85,2,4,1,1
30797,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,-19.8,11.88,1,4,2,0
13742,EPX,Travel Agency,Online,2 way Comprehensive Plan,-102.0,0.0,2,3,3,0
32022,EPX,Travel Agency,Online,2 way Comprehensive Plan,38.0,0.0,2,1,1,0
19437,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,1,1,0
8507,EPX,Travel Agency,Online,Cancellation Plan,12.0,0.0,2,5,1,0
25955,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,5,1,0
7082,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9.9,5.94,3,0,1,0
30214,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,168.3,100.98,3,4,2,0
20856,EPX,Travel Agency,Online,1 way Comprehensive Plan,34.0,0.0,2,1,1,0
1105,C2B,Airlines,Online,Bronze Plan,23.4,5.85,2,0,1,0
7762,EPX,Travel Agency,Online,2 way Comprehensive Plan,24.0,0.0,2,0,1,0
22138,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,0,1,0
13544,C2B,Airlines,Online,Silver Plan,63.5,15.88,1,4,1,1
3135,EPX,Travel Agency,Online,2 way Comprehensive Plan,42.0,0.0,2,4,1,0
22212,JZI,Airlines,Online,Value Plan,55.0,19.25,2,0,3,0
12153,SSI,Airlines,Online,Ticket Protector,4.76,1.33,2,5,1,1
12886,C2B,Airlines,Online,Bronze Plan,20.0,5.0,2,2,1,0
30357,EPX,Travel Agency,Online,Cancellation Plan,21.0,0.0,2,0,1,0
20933,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,118.8,71.28,2,5,4,0
18409,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69.3,41.58,3,4,3,0
25688,EPX,Travel Agency,Online,2 way Comprehensive Plan,34.0,0.0,2,4,1,0
27885,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,100.5,65.33,3,2,2,0
10800,EPX,Travel Agency,Online,Cancellation Plan,26.0,0.0,2,5,1,0
18046,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,3,4,0
6693,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,-9.9,5.94,2,0,4,0
37989,C2B,Airlines,Online,Gold Plan,88.0,22.0,1,6,1,0
1323,JZI,Airlines,Online,Basic Plan,18.0,6.3,4,0,1,0
19893,EPX,Travel Agency,Online,Cancellation Plan,28.0,0.0,2,5,1,0
6367,EPX,Travel Agency,Online,Cancellation Plan,37.0,0.0,2,1,1,0
15445,EPX,Travel Agency,Online,Cancellation Plan,29.0,0.0,2,5,1,0
32443,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,32.25,20.96,1,0,1,0
36498,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,1,4,0
4543,ADM,Travel Agency,Online,Premier Plan,111.0,42.18,1,4,2,0
29727,C2B,Airlines,Online,Silver Plan,48.5,12.13,1,2,1,0
4817,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,1,2,1,0
20475,EPX,Travel Agency,Online,2 way Comprehensive Plan,76.0,0.0,2,2,2,0
2482,C2B,Airlines,Online,Bronze Plan,0.0,7.13,2,0,1,0
22162,EPX,Travel Agency,Online,Cancellation Plan,42.0,0.0,2,6,1,0
21250,JZI,Airlines,Online,Basic Plan,22.0,7.7,4,5,1,0
21427,EPX,Travel Agency,Online,Cancellation Plan,19.0,0.0,2,2,1,0
5315,EPX,Travel Agency,Online,Cancellation Plan,15.0,0.0,1,1,1,0
4983,EPX,Travel Agency,Online,Cancellation Plan,45.0,0.0,2,4,2,0
16790,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,1,1,0
9645,JZI,Airlines,Online,Basic Plan,30.0,10.5,4,3,1,0
10777,EPX,Travel Agency,Online,Cancellation Plan,30.0,0.0,2,2,1,0
1014,ART,Airlines,Online,24 Protect,8.63,3.02,2,1,1,0
13003,EPX,Travel Agency,Online,Cancellation Plan,43.0,0.0,2,1,1,0
5861,EPX,Travel Agency,Online,2 way Comprehensive Plan,28.0,0.0,2,6,1,0
38396,JZI,Airlines,Online,Basic Plan,26.0,9.1,2,4,1,0
12581,EPX,Travel Agency,Online,Cancellation Plan,13.0,0.0,2,1,1,0
7281,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,3,1,0
4513,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,2,4,1,0
25598,JZI,Airlines,Online,Basic Plan,33.0,11.55,2,1,1,0
7849,JZI,Airlines,Online,Basic Plan,18.0,6.3,2,1,1,0
30702,EPX,Travel Agency,Online,Cancellation Plan,27.0,0.0,3,0,1,0
2942,EPX,Travel Agency,Online,Cancellation Plan,80.0,0.0,2,6,2,0
30720,EPX,Travel Agency,Online,Cancellation Plan,20.0,0.0,2,0,1,0
9018,EPX,Travel Agency,Online,2 way Comprehensive Plan,112.0,0.0,2,4,3,1
34828,EPX,Travel Agency,Online,2 way Comprehensive Plan,25.0,0.0,2,2,1,0
22758,EPX,Travel Agency,Online,2 way Comprehensive Plan,79.0,0.0,2,4,4,0
2249,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,1,1,0
9012,EPX,Travel Agency,Online,1 way Comprehensive Plan,21.0,0.0,2,2,1,0
13294,JZI,Airlines,Online,Basic Plan,37.0,12.95,2,4,1,0
13640,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9.9,5.94,2,5,1,0
16644,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,5,1,0
24177,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,1,2,1,0
196,EPX,Travel Agency,Online,2 way Comprehensive Plan,93.0,0.0,2,2,2,0
31170,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,89.1,53.46,3,4,0,0
25066,C2B,Airlines,Online,Annual Gold Plan,278.85,69.71,2,6,1,0
9650,EPX,Travel Agency,Online,Cancellation Plan,45.0,0.0,2,6,1,0
33652,EPX,Travel Agency,Online,Cancellation Plan,23.0,0.0,3,4,3,0
26052,EPX,Travel Agency,Online,Cancellation Plan,41.0,0.0,1,2,1,0
18003,EPX,Travel Agency,Online,2 way Comprehensive Plan,36.0,0.0,2,0,1,0
13454,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,0,1,0
28864,EPX,Travel Agency,Online,Cancellation Plan,0.0,0.0,1,1,1,0
31073,EPX,Travel Agency,Online,Cancellation Plan,17.0,0.0,2,4,1,0
15939,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,1,1,0
3113,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,3,1,0
30659,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,0,1,0
35694,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,2,1,0
28871,JZI,Airlines,Online,Value Plan,58.0,20.3,2,5,4,0
37773,TST,Travel Agency,Offline,Travel Cruise Protect,30.0,10.5,3,4,1,0
778,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,2,1,0
23149,JZI,Airlines,Online,Basic Plan,26.0,9.1,2,1,1,0
30977,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39.6,23.76,2,5,2,0
36323,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,5.94,2,6,2,0
11823,EPX,Travel Agency,Online,Cancellation Plan,76.0,0.0,2,1,1,0
8332,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,178.2,106.92,3,3,4,0
9107,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,4,4,0
4660,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,2,4,1,0
33589,JZI,Airlines,Online,Value Plan,45.0,15.75,2,1,1,0
6855,EPX,Travel Agency,Online,Cancellation Plan,46.0,0.0,2,1,1,0
38580,EPX,Travel Agency,Online,Cancellation Plan,13.0,0.0,2,1,1,0
16320,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,108.9,65.34,2,5,4,1
33452,EPX,Travel Agency,Online,1 way Comprehensive Plan,27.0,0.0,1,0,1,0
22914,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,4,1,0
32990,EPX,Travel Agency,Online,2 way Comprehensive Plan,47.0,0.0,2,4,1,0
25860,EPX,Travel Agency,Online,1 way Comprehensive Plan,29.0,0.0,2,0,1,0
31287,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,3,3,1,0
19813,C2B,Airlines,Online,Bronze Plan,35.5,8.88,2,4,1,0
8292,EPX,Travel Agency,Online,Cancellation Plan,29.0,0.0,2,5,1,0
38408,EPX,Travel Agency,Online,2 way Comprehensive Plan,81.0,0.0,2,4,4,0
14752,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,5,1,0
38266,JZI,Airlines,Online,Basic Plan,35.0,12.25,2,3,1,0
1179,EPX,Travel Agency,Online,Cancellation Plan,13.0,0.0,1,4,1,0
12218,C2B,Airlines,Online,Bronze Plan,27.0,6.75,2,2,1,0
6379,C2B,Airlines,Online,Silver Plan,24.5,6.13,2,1,1,0
36036,EPX,Travel Agency,Online,2 way Comprehensive Plan,67.0,0.0,2,6,2,0
29960,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,2,1,0
3774,EPX,Travel Agency,Online,Cancellation Plan,39.0,0.0,2,0,1,0
6674,EPX,Travel Agency,Online,2 way Comprehensive Plan,27.0,0.0,2,0,1,0
31497,EPX,Travel Agency,Online,2 way Comprehensive Plan,23.0,0.0,2,1,1,0
16136,RAB,Airlines,Online,Value Plan,15.0,6.0,1,1,1,0
959,C2B,Airlines,Online,Bronze Plan,30.55,7.64,1,2,1,0
15342,EPX,Travel Agency,Online,Cancellation Plan,59.0,0.0,2,6,1,0
405,C2B,Airlines,Online,Silver Plan,33.5,8.38,1,1,1,0
1758,EPX,Travel Agency,Online,Cancellation Plan,19.0,0.0,2,6,1,0
18745,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,3,2,1,0
12894,CCR,Travel Agency,Offline,Premier Plan,58.0,19.14,3,6,1,0
13140,C2B,Airlines,Online,Annual Gold Plan,599.0,149.75,4,6,1,0
2438,EPX,Travel Agency,Online,2 way Comprehensive Plan,29.0,0.0,2,4,1,0
14031,EPX,Travel Agency,Online,Cancellation Plan,79.0,0.0,2,2,1,0
19602,JZI,Airlines,Online,Basic Plan,22.0,7.7,3,2,1,0
32613,EPX,Travel Agency,Online,Cancellation Plan,38.0,0.0,2,1,1,0
22994,C2B,Airlines,Online,Bronze Plan,20.0,5.0,1,1,1,0
32195,EPX,Travel Agency,Online,2 way Comprehensive Plan,42.0,0.0,2,1,1,0
23577,EPX,Travel Agency,Online,Cancellation Plan,26.0,0.0,2,1,1,0
17822,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,1,4,1,0
38474,C2B,Airlines,Online,Silver Plan,18.5,4.63,2,0,1,0
17402,EPX,Travel Agency,Online,2 way Comprehensive Plan,29.0,0.0,2,6,1,0
137,EPX,Travel Agency,Online,1 way Comprehensive Plan,24.0,0.0,2,4,1,0
27366,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0.0,29.7,2,0,1,0
34432,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,3,2,1
28436,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,5,1,0
1884,JZI,Airlines,Online,Basic Plan,22.0,7.7,2,0,1,0
34882,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,1,6,2,0
8475,EPX,Travel Agency,Online,1 way Comprehensive Plan,20.0,0.0,1,4,1,0
36982,JZI,Airlines,Online,Basic Plan,26.0,9.1,2,0,1,0
25723,EPX,Travel Agency,Online,2 way Comprehensive Plan,25.0,0.0,2,4,1,0
5197,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,1,1,0
15030,EPX,Travel Agency,Online,2 way Comprehensive Plan,28.0,0.0,2,1,1,0
29132,LWC,Travel Agency,Online,Annual Travel Protect Platinum,323.4,210.21,2,6,3,0
30099,JZI,Airlines,Online,Basic Plan,0.0,7.7,2,0,1,0
22864,EPX,Travel Agency,Online,Cancellation Plan,80.0,0.0,2,3,1,0
5007,EPX,Travel Agency,Online,2 way Comprehensive Plan,56.0,0.0,2,2,4,0
3103,EPX,Travel Agency,Online,2 way Comprehensive Plan,32.0,0.0,2,0,1,0
30929,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,2,6,1,0
26122,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99.0,59.4,2,2,4,0
32657,C2B,Airlines,Online,Gold Plan,105.6,26.4,2,6,1,1
28015,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,4,4,0
2062,EPX,Travel Agency,Online,2 way Comprehensive Plan,89.0,0.0,2,2,2,0
18399,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59.4,35.64,2,4,4,0
15895,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49.5,29.7,2,3,4,0
28536,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,4,4,1,0
9510,EPX,Travel Agency,Online,2 way Comprehensive Plan,112.0,0.0,2,6,2,0
11539,EPX,Travel Agency,Online,2 way Comprehensive Plan,41.0,0.0,2,4,1,0
26862,EPX,Travel Agency,Online,2 way Comprehensive Plan,35.0,0.0,2,5,1,0
15945,EPX,Travel Agency,Online,2 way Comprehensive Plan,54.0,0.0,2,6,1,0
22112,EPX,Travel Agency,Online,Cancellation Plan,70.0,0.0,2,3,4,0
22617,EPX,Travel Agency,Online,2 way Comprehensive Plan,112.0,0.0,2,1,2,0
7767,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99.0,59.4,2,1,4,0
26469,EPX,Travel Agency,Online,Cancellation Plan,80.0,0.0,2,4,2,0
30855,C2B,Airlines,Online,Silver Plan,18.5,4.63,2,0,1,0
10169,EPX,Travel Agency,Online,Cancellation Plan,19.0,0.0,2,3,2,0
10111,EPX,Travel Agency,Online,1 way Comprehensive Plan,34.0,0.0,2,1,1,0
35928,C2B,Airlines,Online,Annual Silver Plan,291.75,72.94,4,6,1,0
5297,EPX,Travel Agency,Online,2 way Comprehensive Plan,20.0,0.0,2,5,1,0
12597,C2B,Airlines,Online,Annual Silver Plan,216.0,54.0,2,6,1,0
28496,EPX,Travel Agency,Offline,2 way Comprehensive Plan,68.0,0.0,2,6,2,0
3561,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,29.7,17.82,2,4,4,0
4969,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59.4,35.64,2,6,4,0
4323,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,5,1,0
35605,EPX,Travel Agency,Online,Cancellation Plan,54.0,0.0,2,3,2,0
10868,JZI,Airlines,Online,Value Plan,121.0,42.35,3,4,3,0
35147,EPX,Travel Agency,Online,2 way Comprehensive Plan,46.0,0.0,2,1,1,0
25024,EPX,Travel Agency,Online,Cancellation Plan,13.0,0.0,2,4,1,0
29229,JZI,Airlines,Online,Basic Plan,35.0,12.25,3,2,1,0
34243,C2B,Airlines,Online,Bronze Plan,56.5,14.13,3,4,1,0
15391,JZI,Airlines,Online,Value Plan,138.0,48.3,3,4,3,0
14035,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,1,1,0
31268,EPX,Travel Agency,Online,1 way Comprehensive Plan,112.0,0.0,2,5,3,0
635,EPX,Travel Agency,Online,2 way Comprehensive Plan,33.0,0.0,2,1,1,0
12333,EPX,Travel Agency,Online,Cancellation Plan,11.0,0.0,2,4,1,0
38678,C2B,Airlines,Online,Annual Silver Plan,252.85,63.21,1,6,1,1
16710,EPX,Travel Agency,Online,Cancellation Plan,80.0,0.0,2,1,1,0
31482,SSI,Airlines,Online,Ticket Protector,15.95,4.47,2,5,1,0
7154,EPX,Travel Agency,Online,2 way Comprehensive Plan,21.0,0.0,2,3,1,0
8699,C2B,Airlines,Online,Bronze Plan,16.0,4.0,1,5,1,0
994,EPX,Travel Agency,Online,Cancellation Plan,16.0,0.0,2,5,1,0
38111,RAB,Airlines,Online,Value Plan,15.0,6.0,4,0,1,0
12514,EPX,Travel Agency,Online,2 way Comprehensive Plan,22.0,0.0,2,6,1,0
7328,RAB,Airlines,Online,Value Plan,15.0,6.0,3,4,1,0
612,JZI,Airlines,Online,Basic Plan,35.0,12.25,3,1,1,0
1455,EPX,Travel Agency,Online,Cancellation Plan,10.0,0.0,2,2,4,0
25866,C2B,Airlines,Online,Bronze Plan,23.5,5.88,2,1,1,0
7634,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19.8,11.88,1,2,2,0
22507,JZI,Airlines,Online,Basic Plan,30.0,10.5,3,4,1,0
22043,EPX,Travel Agency,Online,2 way Comprehensive Plan,78.0,0.0,2,4,1,0
