,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
6923,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,NEW ZEALAND,39.6,23.76,42,No
4685,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,125,ICELAND,69.3,41.58,31,No
35672,C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,52.65,13.16,27,No
32901,EPX,Travel Agency,Online,Cancellation Plan,14,SRI LANKA,22.0,0.0,36,No
11487,JZI,Airlines,Online,Basic Plan,15,MYANMAR,18.0,6.3,58,No
34320,EPX,Travel Agency,Online,2 way Comprehensive Plan,131,UNITED STATES,106.0,0.0,38,No
12865,EPX,Travel Agency,Online,Cancellation Plan,7,VIETNAM,10.0,0.0,27,No
7050,C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,53.0,13.25,36,No
10555,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,57,AUSTRALIA,79.2,47.52,48,No
38176,C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,32.5,8.13,37,No
27180,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,HONG KONG,86.0,0.0,36,No
11469,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,INDIA,20.0,0.0,24,No
23919,CBH,Travel Agency,Offline,Comprehensive Plan,8,THAILAND,29.0,9.57,22,No
34802,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,61,THAILAND,39.6,23.76,51,No
36273,EPX,Travel Agency,Online,Cancellation Plan,23,VIETNAM,10.0,0.0,36,No
19504,JZI,Airlines,Online,Basic Plan,12,THAILAND,30.0,10.5,56,No
10144,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,THAILAND,28.0,0.0,36,No
5884,EPX,Travel Agency,Online,Cancellation Plan,8,VIETNAM,10.0,0.0,36,No
25552,EPX,Travel Agency,Online,Cancellation Plan,20,JAPAN,71.0,0.0,34,No
18377,EPX,Travel Agency,Online,1 way Comprehensive Plan,75,ITALY,20.0,0.0,36,No
29765,EPX,Travel Agency,Online,Cancellation Plan,212,PERU,22.0,0.0,34,No
3272,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,CHINA,36.0,0.0,36,No
8837,EPX,Travel Agency,Online,Cancellation Plan,157,SWITZERLAND,12.0,0.0,36,No
27387,EPX,Travel Agency,Online,Cancellation Plan,87,UNITED STATES,64.0,0.0,25,No
2321,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,25.5,6.38,21,No
20707,EPX,Travel Agency,Online,1 way Comprehensive Plan,69,INDIA,26.0,0.0,36,No
12556,SSI,Airlines,Online,Ticket Protector,67,SINGAPORE,10.55,2.96,48,No
133,EPX,Travel Agency,Online,Cancellation Plan,45,JAPAN,53.0,0.0,36,No
23593,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,SAUDI ARABIA,69.3,41.58,42,No
5032,JZI,Airlines,Online,Basic Plan,70,UNITED KINGDOM,49.0,17.15,26,No
30915,EPX,Travel Agency,Online,Cancellation Plan,30,TAIWAN,27.0,0.0,36,No
15587,JZI,Airlines,Online,Basic Plan,22,CHINA,26.0,9.1,29,No
33178,EPX,Travel Agency,Online,Cancellation Plan,11,SINGAPORE,19.0,0.0,36,No
8166,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,30,No
31457,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,MALAYSIA,-39.6,23.76,35,No
219,EPX,Travel Agency,Offline,2 way Comprehensive Plan,23,INDONESIA,20.0,0.0,31,No
27267,EPX,Travel Agency,Online,2 way Comprehensive Plan,94,CHINA,37.0,0.0,36,No
36161,C2B,Airlines,Online,Silver Plan,62,SINGAPORE,18.5,4.63,30,No
18858,EPX,Travel Agency,Online,2 way Comprehensive Plan,36,SINGAPORE,21.0,0.0,36,No
19835,SSI,Airlines,Online,Ticket Protector,0,SINGAPORE,1.93,0.54,48,No
11752,EPX,Travel Agency,Online,Cancellation Plan,11,HONG KONG,21.0,0.0,43,No
35435,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,13.5,3.38,55,No
3204,EPX,Travel Agency,Online,Cancellation Plan,15,MALAYSIA,14.0,0.0,36,No
19389,EPX,Travel Agency,Online,1 way Comprehensive Plan,4,THAILAND,21.0,0.0,35,No
11093,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,68,No
13416,EPX,Travel Agency,Online,2 way Comprehensive Plan,31,GERMANY,112.0,0.0,36,No
24193,EPX,Travel Agency,Online,2 way Comprehensive Plan,124,UNITED STATES,112.0,0.0,51,No
19766,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,PHILIPPINES,25.0,0.0,36,No
18923,JZI,Airlines,Online,Basic Plan,7,SRI LANKA,26.0,9.1,49,No
18149,EPX,Travel Agency,Online,Cancellation Plan,20,HONG KONG,19.0,0.0,36,No
21697,EPX,Travel Agency,Online,1 way Comprehensive Plan,110,CAMBODIA,20.0,0.0,36,No
2862,JZI,Airlines,Online,Basic Plan,97,PHILIPPINES,42.0,14.7,52,No
34013,ART,Airlines,Online,24 Protect,10,PHILIPPINES,18.76,6.57,48,No
18843,EPX,Travel Agency,Online,1 way Comprehensive Plan,24,SINGAPORE,20.0,0.0,61,No
38519,EPX,Travel Agency,Online,Cancellation Plan,5,UNITED STATES,28.0,0.0,38,No
11231,JZI,Airlines,Online,Basic Plan,12,PHILIPPINES,18.0,6.3,63,No
37579,C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,22.1,5.53,24,Yes
813,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,UNITED STATES,9.9,5.94,40,No
24050,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,20.0,0.0,31,No
34183,EPX,Travel Agency,Online,Cancellation Plan,37,CHINA,15.0,0.0,36,No
33183,EPX,Travel Agency,Online,2 way Comprehensive Plan,50,JAPAN,34.0,0.0,36,No
11891,JZI,Airlines,Online,Basic Plan,10,SRI LANKA,22.0,7.7,59,No
13397,EPX,Travel Agency,Online,Cancellation Plan,8,SINGAPORE,52.0,0.0,36,No
12175,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,MALAYSIA,20.0,0.0,36,No
28338,EPX,Travel Agency,Online,2 way Comprehensive Plan,41,CHINA,27.0,0.0,36,No
15482,EPX,Travel Agency,Online,Cancellation Plan,12,THAILAND,40.0,0.0,36,No
34505,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,334,MALAYSIA,39.6,23.76,46,No
4589,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,VIETNAM,42.0,0.0,36,No
372,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,UNITED ARAB EMIRATES,69.3,41.58,31,No
8120,JZI,Airlines,Online,Basic Plan,33,MALAYSIA,18.0,6.3,64,No
28665,KML,Travel Agency,Online,Premier Plan,108,INDONESIA,38.0,14.44,48,No
20008,EPX,Travel Agency,Online,2 way Comprehensive Plan,80,UNITED STATES,103.0,0.0,29,Yes
26884,EPX,Travel Agency,Online,2 way Comprehensive Plan,95,THAILAND,20.0,0.0,28,No
19858,C2B,Airlines,Online,Annual Silver Plan,392,SINGAPORE,216.0,54.0,43,No
20521,EPX,Travel Agency,Online,Cancellation Plan,38,MYANMAR,10.0,0.0,36,No
15681,EPX,Travel Agency,Online,2 way Comprehensive Plan,56,THAILAND,20.0,0.0,32,No
1158,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,MALAYSIA,20.0,0.0,35,No
24907,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,MALAYSIA,20.0,0.0,54,No
34429,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,TAIWAN,106.0,0.0,36,No
36662,EPX,Travel Agency,Online,Cancellation Plan,21,SINGAPORE,24.0,0.0,36,No
25120,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,SOUTH KOREA,39.6,23.76,35,No
34778,SSI,Airlines,Online,Ticket Protector,4,SINGAPORE,4.44,1.25,48,No
15961,EPX,Travel Agency,Online,Cancellation Plan,117,SINGAPORE,10.0,0.0,35,No
19994,EPX,Travel Agency,Online,Cancellation Plan,24,AUSTRALIA,49.0,0.0,36,No
30679,EPX,Travel Agency,Online,2 way Comprehensive Plan,99,UNITED KINGDOM,112.0,0.0,36,No
30143,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,PHILIPPINES,27.0,0.0,42,No
24343,JZI,Airlines,Online,Basic Plan,18,PHILIPPINES,18.0,6.3,55,No
31480,EPX,Travel Agency,Online,2 way Comprehensive Plan,31,CHINA,33.0,0.0,36,No
345,C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,33.5,8.38,68,No
37071,SSI,Airlines,Online,Ticket Protector,73,SINGAPORE,3.03,0.85,48,No
17010,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,27,UNITED KINGDOM,69.3,41.58,54,No
35019,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,259.2,64.8,31,No
1486,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,38,No
9272,C2B,Airlines,Online,Bronze Plan,55,SINGAPORE,62.0,15.5,36,No
3962,EPX,Travel Agency,Online,Cancellation Plan,7,SOUTH KOREA,58.0,0.0,36,No
22691,SSI,Airlines,Online,Ticket Protector,11,SINGAPORE,9.77,2.74,48,No
4663,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,79,MEXICO,148.5,89.1,48,No
35210,EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,10.0,0.0,23,No
8463,EPX,Travel Agency,Online,Cancellation Plan,23,INDIA,24.0,0.0,36,No
2612,JZI,Airlines,Online,Basic Plan,9,THAILAND,22.0,7.7,54,No
31393,EPX,Travel Agency,Online,Cancellation Plan,5,MALAYSIA,20.0,0.0,54,No
6709,EPX,Travel Agency,Online,Cancellation Plan,31,SINGAPORE,10.0,0.0,24,No
13190,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,AUSTRALIA,89.1,53.46,50,No
18607,JZI,Airlines,Online,Basic Plan,21,SRI LANKA,35.0,12.25,51,No
24955,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,CHINA,33.0,0.0,36,No
20601,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,AUSTRALIA,19.8,11.88,33,No
15007,JZI,Airlines,Online,Basic Plan,59,CHINA,40.0,14.0,46,No
26018,EPX,Travel Agency,Online,2 way Comprehensive Plan,35,UNITED STATES,95.0,0.0,30,Yes
8616,EPX,Travel Agency,Online,Cancellation Plan,5,INDONESIA,19.0,0.0,37,No
19338,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,JAPAN,9.9,5.94,31,No
24251,JZI,Airlines,Online,Value Plan,20,MAURITIUS,109.0,38.15,42,No
12043,JZI,Airlines,Online,Basic Plan,7,INDIA,35.0,12.25,58,No
22718,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,THAILAND,95.0,0.0,36,No
11197,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,29,No
17925,EPX,Travel Agency,Online,Cancellation Plan,5,THAILAND,37.0,0.0,35,No
28068,EPX,Travel Agency,Online,2 way Comprehensive Plan,35,SINGAPORE,112.0,0.0,29,No
31792,EPX,Travel Agency,Online,Cancellation Plan,5,HONG KONG,17.0,0.0,36,No
26005,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,THAILAND,29.7,17.82,31,No
3940,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,119,NETHERLANDS,69.3,41.58,57,No
33146,EPX,Travel Agency,Online,Cancellation Plan,23,SINGAPORE,29.0,0.0,43,No
38185,EPX,Travel Agency,Online,Cancellation Plan,44,PHILIPPINES,11.0,0.0,36,No
16124,EPX,Travel Agency,Online,Cancellation Plan,26,JAPAN,40.0,0.0,36,No
34367,C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,47.0,11.75,38,No
5973,EPX,Travel Agency,Online,Cancellation Plan,3,HONG KONG,22.0,0.0,56,No
38010,C2B,Airlines,Online,Silver Plan,8,SINGAPORE,19.5,4.88,28,No
12939,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,VIETNAM,20.0,0.0,28,No
258,EPX,Travel Agency,Online,Cancellation Plan,5,JAPAN,10.0,0.0,22,No
506,EPX,Travel Agency,Online,Cancellation Plan,172,UNITED KINGDOM,80.0,0.0,36,No
29821,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,MALAYSIA,20.0,0.0,43,No
12337,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,THAILAND,20.0,0.0,36,No
295,EPX,Travel Agency,Online,Cancellation Plan,13,SINGAPORE,24.0,0.0,36,No
28798,EPX,Travel Agency,Online,Cancellation Plan,1,SRI LANKA,11.0,0.0,36,No
11966,EPX,Travel Agency,Online,Cancellation Plan,229,CAMBODIA,80.0,0.0,36,No
14281,EPX,Travel Agency,Online,Cancellation Plan,45,INDONESIA,15.0,0.0,30,No
15596,EPX,Travel Agency,Online,Cancellation Plan,42,UNITED STATES,78.0,0.0,37,No
10640,EPX,Travel Agency,Online,Cancellation Plan,20,SINGAPORE,42.0,0.0,36,No
20423,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,MALAYSIA,23.0,0.0,54,No
35656,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,MALAYSIA,49.5,29.7,28,No
20189,EPX,Travel Agency,Online,2 way Comprehensive Plan,140,THAILAND,27.0,0.0,36,No
7448,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,HONG KONG,22.0,0.0,36,No
29607,EPX,Travel Agency,Online,Cancellation Plan,12,UNITED STATES,10.0,0.0,19,No
26341,EPX,Travel Agency,Online,Cancellation Plan,103,INDONESIA,10.0,0.0,42,No
25681,EPX,Travel Agency,Online,Cancellation Plan,45,CHINA,22.0,0.0,36,No
17776,JZI,Airlines,Online,Basic Plan,97,PHILIPPINES,37.0,12.95,27,No
22447,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,SINGAPORE,54.0,0.0,36,No
8806,EPX,Travel Agency,Online,Cancellation Plan,7,MYANMAR,14.0,0.0,36,No
3253,TST,Travel Agency,Offline,Travel Cruise Protect,9,THAILAND,30.0,10.5,72,No
8390,EPX,Travel Agency,Online,Cancellation Plan,67,VIETNAM,12.0,0.0,36,No
9,EPX,Travel Agency,Online,Cancellation Plan,24,GERMANY,80.0,0.0,36,No
3739,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,TAIWAN,30.0,0.0,36,No
18085,C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,13.5,3.38,25,No
34513,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,90,AUSTRALIA,49.5,29.7,60,No
26535,EPX,Travel Agency,Online,Cancellation Plan,117,RUSSIA,16.0,0.0,36,No
12869,EPX,Travel Agency,Online,2 way Comprehensive Plan,134,THAILAND,27.0,0.0,34,No
6699,EPX,Travel Agency,Online,2 way Comprehensive Plan,52,INDIA,37.0,0.0,36,No
12715,EPX,Travel Agency,Online,Cancellation Plan,12,MALAYSIA,21.0,0.0,36,No
29544,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,51,No
3665,C2B,Airlines,Online,Annual Silver Plan,370,SINGAPORE,187.85,46.96,41,No
36624,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,THAILAND,24.0,0.0,29,No
16687,EPX,Travel Agency,Online,Cancellation Plan,33,SINGAPORE,10.0,0.0,36,No
28584,JZI,Airlines,Online,Basic Plan,43,CHINA,50.0,17.5,37,No
14389,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,HONG KONG,57.0,0.0,36,No
4253,EPX,Travel Agency,Online,Cancellation Plan,26,VIETNAM,10.0,0.0,41,No
30096,C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,33.5,8.38,36,No
23093,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,UNITED ARAB EMIRATES,88.0,0.0,36,No
26851,EPX,Travel Agency,Online,Cancellation Plan,52,UNITED KINGDOM,65.0,0.0,36,No
34421,C2B,Airlines,Online,Silver Plan,27,SINGAPORE,43.55,10.89,75,No
38337,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,AUSTRALIA,-59.4,35.64,41,No
26113,JZI,Airlines,Online,Basic Plan,29,THAILAND,22.0,7.7,58,No
24534,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,93,AUSTRALIA,29.7,17.82,40,No
3876,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,13.5,3.38,27,No
10222,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,JAPAN,0.0,11.88,31,No
1806,EPX,Travel Agency,Online,2 way Comprehensive Plan,26,TUNISIA,112.0,0.0,36,No
24349,EPX,Travel Agency,Online,1 way Comprehensive Plan,13,INDIA,23.0,0.0,36,No
24201,C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,33.5,8.38,32,No
34562,C2B,Airlines,Online,Bronze Plan,208,SINGAPORE,17.55,4.39,55,No
2883,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,CAMBODIA,20.0,0.0,36,No
3837,EPX,Travel Agency,Online,Cancellation Plan,17,UNITED STATES,64.0,0.0,79,No
9286,EPX,Travel Agency,Online,Cancellation Plan,44,SWITZERLAND,55.0,0.0,36,No
32317,EPX,Travel Agency,Online,Cancellation Plan,28,SINGAPORE,13.0,0.0,35,No
39053,EPX,Travel Agency,Online,Cancellation Plan,110,PHILIPPINES,24.0,0.0,35,No
5819,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59,MALAYSIA,19.8,11.88,47,No
19357,EPX,Travel Agency,Online,Cancellation Plan,34,MALAYSIA,15.0,0.0,46,No
15563,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,GERMANY,49.5,29.7,45,No
29399,EPX,Travel Agency,Online,Cancellation Plan,6,CHINA,60.0,0.0,36,No
22526,C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,216.0,54.0,38,No
19198,C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,27.0,6.75,25,No
22060,EPX,Travel Agency,Online,Cancellation Plan,20,THAILAND,15.0,0.0,36,No
34142,EPX,Travel Agency,Online,Cancellation Plan,28,JAPAN,15.0,0.0,36,No
34881,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,SPAIN,0.0,5.94,31,No
32561,EPX,Travel Agency,Online,2 way Comprehensive Plan,89,INDIA,28.0,0.0,36,No
3776,JZI,Airlines,Online,Basic Plan,16,CHINA,26.0,9.1,55,No
7275,C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,16.0,4.0,58,No
9244,JZI,Airlines,Online,Value Plan,6,CHINA,45.0,15.75,47,No
30019,EPX,Travel Agency,Online,2 way Comprehensive Plan,49,INDONESIA,23.0,0.0,36,No
21291,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,CHINA,68.0,0.0,36,No
22145,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,MALAYSIA,99.0,59.4,55,No
18862,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,133,SINGAPORE,29.7,17.82,31,No
35851,JZI,Airlines,Online,Value Plan,4,SOUTH KOREA,45.0,15.75,33,No
10591,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,SINGAPORE,37.0,0.0,36,No
18633,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,21.0,5.25,39,No
3827,EPX,Travel Agency,Online,Cancellation Plan,4,CAMBODIA,38.0,0.0,36,No
34958,C2B,Airlines,Online,Annual Gold Plan,366,SINGAPORE,389.35,97.34,29,No
682,ART,Airlines,Online,24 Protect,1,PHILIPPINES,3.74,1.31,48,No
19960,EPX,Travel Agency,Online,Cancellation Plan,8,THAILAND,50.0,0.0,36,No
12531,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,SINGAPORE,20.0,0.0,49,No
6150,EPX,Travel Agency,Online,Cancellation Plan,8,SINGAPORE,11.0,0.0,36,No
4311,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,UNITED KINGDOM,99.0,59.4,54,No
29909,EPX,Travel Agency,Online,Cancellation Plan,67,MALAYSIA,10.0,0.0,48,No
20176,EPX,Travel Agency,Online,Cancellation Plan,32,INDONESIA,10.0,0.0,24,No
29614,JZI,Airlines,Online,Basic Plan,103,SOUTH KOREA,35.0,12.25,39,No
20635,EPX,Travel Agency,Online,2 way Comprehensive Plan,65,MYANMAR,20.0,0.0,35,No
353,EPX,Travel Agency,Online,Cancellation Plan,21,SOUTH KOREA,10.0,0.0,25,No
14440,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,HONG KONG,43.0,0.0,36,No
23966,EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,10.0,0.0,27,No
19002,EPX,Travel Agency,Online,2 way Comprehensive Plan,202,GERMANY,70.0,0.0,36,No
30140,EPX,Travel Agency,Online,Cancellation Plan,12,PHILIPPINES,30.0,0.0,36,No
1865,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,HONG KONG,92.0,0.0,36,No
21528,JZI,Airlines,Online,Basic Plan,11,THAILAND,18.0,6.3,39,No
19802,C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,18.0,4.5,42,No
19511,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,59,MALAYSIA,-19.8,11.88,45,No
37359,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39,UNITED KINGDOM,39.6,23.76,31,No
927,C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,161.0,40.25,25,No
34592,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,VIETNAM,30.0,0.0,36,No
10452,JZI,Airlines,Online,Basic Plan,7,MALAYSIA,22.0,7.7,58,No
5945,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,ITALY,49.5,29.7,30,No
17533,EPX,Travel Agency,Online,2 way Comprehensive Plan,5,VIETNAM,20.0,0.0,36,No
34842,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,32,ITALY,89.1,53.46,29,No
11300,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,MALAYSIA,20.0,0.0,28,No
19126,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,50.0,12.5,37,No
17000,EPX,Travel Agency,Online,Cancellation Plan,9,SINGAPORE,10.0,0.0,35,No
2926,EPX,Travel Agency,Online,Cancellation Plan,112,CHINA,50.0,0.0,36,No
35383,C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,27.0,6.75,29,No
7868,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,65,GERMANY,99.0,59.4,34,No
35554,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,HONG KONG,25.0,0.0,36,No
21467,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,23.0,0.0,70,No
26758,EPX,Travel Agency,Online,Cancellation Plan,141,AUSTRALIA,80.0,0.0,36,No
13582,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,AUSTRALIA,19.8,11.88,61,No
20672,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,AUSTRALIA,79.2,47.52,30,No
1476,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,MYANMAR,20.0,0.0,36,No
28862,C2B,Airlines,Online,Silver Plan,75,SINGAPORE,24.05,6.01,40,No
17217,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,INDIA,41.0,0.0,36,No
21993,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,4,CHINA,46.4,30.16,35,No
36395,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,28,NEW ZEALAND,89.1,53.46,34,No
22428,EPX,Travel Agency,Online,1 way Comprehensive Plan,21,INDIA,0.0,0.0,36,No
24063,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,92,THAILAND,25.0,16.25,51,No
10114,EPX,Travel Agency,Online,2 way Comprehensive Plan,41,VIETNAM,0.0,0.0,36,No
34519,EPX,Travel Agency,Online,Cancellation Plan,34,UNITED STATES,49.0,0.0,46,No
22476,EPX,Travel Agency,Online,Cancellation Plan,15,UNITED STATES,80.0,0.0,46,No
33711,EPX,Travel Agency,Online,Cancellation Plan,114,PHILIPPINES,11.0,0.0,36,No
11400,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,79.2,47.52,37,No
3255,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,THAILAND,47.0,0.0,36,No
26494,C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,60.0,15.0,38,No
8403,JZI,Airlines,Online,Basic Plan,10,CHINA,35.0,12.25,53,No
11690,EPX,Travel Agency,Online,2 way Comprehensive Plan,74,JAPAN,78.0,0.0,36,No
9763,C2B,Airlines,Online,Silver Plan,10,SINGAPORE,29.5,7.38,30,No
26895,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,SPAIN,0.0,53.46,46,No
2447,EPX,Travel Agency,Online,2 way Comprehensive Plan,39,AUSTRALIA,0.0,0.0,36,No
16670,C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,80.6,20.15,37,No
15495,EPX,Travel Agency,Online,Cancellation Plan,12,THAILAND,10.0,0.0,74,No
6847,JZI,Airlines,Online,Basic Plan,20,INDONESIA,18.0,6.3,41,No
4641,EPX,Travel Agency,Offline,2 way Comprehensive Plan,47,INDONESIA,25.0,0.0,44,No
37046,LWC,Travel Agency,Online,Annual Travel Protect Gold,376,UNITED STATES,256.2,166.53,37,No
38650,C2B,Airlines,Online,Silver Plan,30,SINGAPORE,58.2,14.55,31,No
23989,EPX,Travel Agency,Online,Cancellation Plan,66,SINGAPORE,28.0,0.0,36,No
6238,EPX,Travel Agency,Online,Cancellation Plan,257,HONG KONG,20.0,0.0,36,No
3311,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,17.55,4.39,44,No
1572,EPX,Travel Agency,Online,Cancellation Plan,3,CANADA,80.0,0.0,54,No
3921,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,THAILAND,24.0,0.0,28,No
5145,EPX,Travel Agency,Online,Cancellation Plan,26,SINGAPORE,38.0,0.0,36,No
39131,EPX,Travel Agency,Online,2 way Comprehensive Plan,100,AUSTRALIA,32.0,0.0,36,No
9195,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,42,No
30371,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,43,JAPAN,0.0,29.7,41,No
14255,C2B,Airlines,Online,Gold Plan,76,SINGAPORE,27.0,6.75,29,No
18195,EPX,Travel Agency,Online,Cancellation Plan,141,THAILAND,20.0,0.0,36,No
4910,EPX,Travel Agency,Online,1 way Comprehensive Plan,5,CAMBODIA,20.0,0.0,35,No
14181,EPX,Travel Agency,Online,1 way Comprehensive Plan,7,MALAYSIA,20.0,0.0,36,No
27537,EPX,Travel Agency,Online,Cancellation Plan,204,MALAYSIA,10.0,0.0,36,No
38040,EPX,Travel Agency,Online,Cancellation Plan,8,SINGAPORE,25.0,0.0,36,No
4263,EPX,Travel Agency,Online,1 way Comprehensive Plan,54,MALAYSIA,0.0,0.0,35,No
30960,JZI,Airlines,Online,Basic Plan,34,TAIWAN,35.0,12.25,75,No
7212,C2B,Airlines,Online,Silver Plan,7,SINGAPORE,18.5,4.63,29,No
14847,JZI,Airlines,Online,Basic Plan,34,AUSTRALIA,26.0,9.1,36,No
1748,EPX,Travel Agency,Online,Cancellation Plan,28,UNITED STATES,80.0,0.0,30,No
30874,EPX,Travel Agency,Online,Cancellation Plan,16,NORWAY,80.0,0.0,36,No
8161,EPX,Travel Agency,Online,Cancellation Plan,11,JAPAN,10.0,0.0,36,No
